Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
ecc-blind-eye-blastomussa-merletti-coral-lps,ECC Blind Eye Blastomussa Merletti Coral,Title,Default Title,,,,,C1114,,,5300  S Atlantic Ave,,0,0,0,1,1,
blue-alveopora-coral-lps,Blue Alveopora Coral,Title,Default Title,,,,,C1115,,,5300  S Atlantic Ave,,0,0,0,0,0,
indo-neon-green-hammer-coral-lps,Indo Neon Green Hammer Coral,Title,Default Title,,,,,C1116,,,5300  S Atlantic Ave,,0,0,0,3,3,
green-goniopora-coral-lps,Green Goniopora Coral,Title,Default Title,,,,,C1117,,,5300  S Atlantic Ave,,0,0,0,4,4,
aussie-shortcake-acropora-coral-sps,Strawberry Shortcake Acropora Coral,Title,Default Title,,,,,C1119,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-time-warp-goniopora-coral-lps,ECC Time Warp Goniopora Coral,Title,Default Title,,,,,C1120,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-pink-lemon-drop-goniopora-coral-lps,ECC Pink Lemon Drop Goniopora Coral,Title,Default Title,,,,,C1121,,,5300  S Atlantic Ave,,0,0,0,2,2,
shelf-duncan-coral,Shelf Duncan Coral,Title,Default Title,,,,,C1122,,,5300  S Atlantic Ave,,0,0,0,3,3,
beige-goniopora-coral-lps,Beige Goniopora Coral,Title,Default Title,,,,,C1123,,,5300  S Atlantic Ave,,0,0,0,4,4,
deep-green-acropora-coral,Deep Green Acropora Coral,Title,Default Title,,,,,C1124,,,5300  S Atlantic Ave,,0,0,0,2,2,
yellow-submarine-zoanthid-corals-soft,Yellow Submarine Zoanthid Coral,Title,Default Title,,,,,C1126,,,5300  S Atlantic Ave,,0,0,0,1,1,
gb-avatar-chalice-coral-lps,GB Avatar Chalice Coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,1,1,
jf-fruity-pebbles-montipora-coral,JF Fruity Pebbles Montipora Coral,Title,Default Title,,,,,C1127,,,5300  S Atlantic Ave,,0,0,0,1,1,
doughboy-mushroom-coral,Doughboy Mushroom Coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,1,1,
blue-tip-goniopora-coral-saltwater-lps,Blue Tip Goniopora Coral,Title,Default Title,,,,,C1131,,,5300  S Atlantic Ave,,0,0,0,4,4,
green-toadstool-coral-soft,Green Toadstool Coral,Title,Default Title,,,,,C1132,,,5300  S Atlantic Ave,,0,0,0,1,1,
aci-honeysuckle-goniopora-coral-lps,ACI Honeysuckle Goniopora Coral *,Title,Default Title,,,,,T1070,,,5300  S Atlantic Ave,,0,0,0,2,2,
grape-sparkles-goniopora-coral-salt-water-lps,Grape Sparkles Goniopora Coral *,Title,Default Title,,,,,T1071,,,5300  S Atlantic Ave,,0,0,0,2,2,
minty-fresh-goniopora-coral-salt-water-lps,Minty Fresh Goniopora Coral *,Title,Default Title,,,,,T1072,,,5300  S Atlantic Ave,,0,0,0,2,2,
spiderverse-goniopora-coral-salt-water-lps,Spiderverse Goniopora Coral *,Title,Default Title,,,,,T1072,,,5300  S Atlantic Ave,,0,0,0,2,2,
tsa-laffy-taffy-goniopora-coral-salt-water-lps,TSA Laffy Taffy Goniopora Coral *,Title,Default Title,,,,,T1074,,,5300  S Atlantic Ave,,0,0,0,3,3,
oregon-tort-acropora-coral-sps,Oregon Tort Acropora Coral,Title,Default Title,,,,,C1132,,,5300  S Atlantic Ave,,0,0,0,1,1,
aqua-delight-acropora-coral-sps,Aqua Delight Acropora Coral,Title,Default Title,,,,,C1133,,,5300  S Atlantic Ave,,0,0,0,1,1,
orange-ade-blastomussa-coral-lps,Orange Ade Blastomussa Coral,Title,Default Title,,,,,C1134,,,5300  S Atlantic Ave,,0,0,0,1,1,
astrea-snails,Astrea Snails *,Title,Default Title,,,,,T3002,,,5300  S Atlantic Ave,,0,0,0,10,10,
blue-knuckle-hermit-crab-invert,Blue Knuckle Hermit Crab *,Title,Default Title,,,,,T3003,,,5300  S Atlantic Ave,,0,0,0,5,5,
blue-knuckle-hermit-crab-invertebrates,Red Hairy Leg Hermit Crab *,Title,Default Title,,,,,T3004,,,5300  S Atlantic Ave,,0,0,0,3,3,
feather-duster-invertebrates,Feather Duster *,Title,Default Title,,,,,T3005,,,5300  S Atlantic Ave,,0,0,0,3,3,
margarita-snail-invertebrate,Margarita Snail *,Title,Default Title,,,,,T3006,,,5300  S Atlantic Ave,,0,0,0,5,5,
blue-leg-hermit-crab-invertebrates,Blue Leg Hermit Crab *,Title,Default Title,,,,,T3007,,,5300  S Atlantic Ave,,0,0,0,20,20,
mardi-gras-cyphastrea-coral-sps,Mardi Gras Cyphastrea Coral *,Title,Default Title,,,,,T1053,,,5300  S Atlantic Ave,,0,0,0,3,3,
bling-bling-cyphastrea-coral-sps,Bling Bling Cyphastrea Coral *,Title,Default Title,,,,,T1054,,,5300  S Atlantic Ave,,0,0,0,2,2,
hot-lava-cyphastrea-coral-sps,Hot Lava Cyphastrea Coral *,Title,Default Title,,,,,T1055,,,5300  S Atlantic Ave,,0,0,0,2,2,
sand-dollar-porites-coral-sps,Sand Dollar Porites Coral *,Title,Default Title,,,,,T1056,,,5300  S Atlantic Ave,,0,0,0,4,4,
